Year,"College Region (Glasgow, Highlands, etc)",College names (actual for each year),Male,Female,Difference,Female real,PERCENTAGE OF FEMALES:female/male * 100,PER_FEM,College chosen,POSTCODE,LATITUDE,LONGITUDE,TYPE,local_authority
2008,Ayrshire,James Watt College of Further & Higher Education,13,8,0,8,38.10,38.10,Kilwinnig Campus,KA13 6DE,55.6546108,-4.7034382,college,North Ayrshire
2008,West,James Watt College,15,5,3,2,11.76,11.76,James Watt College,PA15 1EN,55.9488053,-4.7545022,college,Inverclyde
2009,Ayrshire,James Watt College of Further & Higher Education,14,6,0,6,30.00,30.00,Kilwinnig Campus,KA13 6DE,55.6546108,-4.7034382,college,North Ayrshire
2009,West,James Watt College,7,5,3,2,22.22,22.22,James Watt College,PA15 1EN,55.9488053,-4.7545022,college,Inverclyde
2010,Ayrshire,James Watt College of Further & Higher Education,16,5,0,5,23.81,23.81,Kilwinnig Campus,KA13 6DE,55.6546108,-4.7034382,college,North Ayrshire
2010,West,James Watt College,13,5,3,2,13.33,13.33,James Watt College,PA15 1EN,55.9488053,-4.7545022,college,Inverclyde
2011,Ayrshire,James Watt College of Further & Higher Education,19,6,0,6,24.00,24.00,Kilwinnig Campus,KA13 6DE,55.6546108,-4.7034382,college,North Ayrshire
2011,West,James Watt College,7,5,2,3,30.00,30.00,James Watt College,PA15 1EN,55.9488053,-4.7545022,college,Inverclyde
2012,Ayrshire,James Watt College of Further & Higher Education,22,5,0,5,18.52,18.52,Kilwinnig Campus,KA13 6DE,55.6546108,-4.7034382,college,North Ayrshire
2005,Ayrshire,James Watt College of Further & Higher Education,21,7,0,7,25.00,25.00,Kilwinnig Campus,KA13 6DE,55.6546108,-4.7034382,college,North Ayrshire
2006,Edinburgh and Lothians,Jewel and Esk Valley College,13,5,0,5,27.78,27.78,Milton Road Campus ,EH15 2PP,55.9438437,-3.100725,college,City of Edinburgh
2007,Edinburgh and Lothians,Jewel and Esk Valley College,20,5,1,4,16.67,16.67,Milton Road Campus ,EH15 2PP,55.9438437,-3.100725,college,City of Edinburgh
2008,Edinburgh and Lothians,Jewel and Esk Valley College,19,5,3,2,9.52,9.52,Milton Road Campus ,EH15 2PP,55.9438437,-3.100725,college,City of Edinburgh
2009,Edinburgh and Lothians,Jewel and Esk Valley College,19,5,4,1,5.00,5.00,Milton Road Campus ,EH15 2PP,55.9438437,-3.100725,college,City of Edinburgh
2010,Edinburgh and Lothians,Jewel and Esk Valley College,12,5,4,1,7.69,7.69,Milton Road Campus ,EH15 2PP,55.9438437,-3.100725,college,City of Edinburgh
2011,Edinburgh and Lothians,Jewel and Esk Valley College,13,7,0,7,35.00,35.00,Milton Road Campus ,EH15 2PP,55.9438437,-3.100725,college,City of Edinburgh
2012,Edinburgh and Lothians,Jewel and Esk Valley College,16,5,3,2,11.11,11.11,Milton Road Campus ,EH15 2PP,55.9438437,-3.100725,college,City of Edinburgh
2005,Edinburgh and Lothians,Jewel and Esk Valley College,9,5,1,4,30.77,30.77,Milton Road Campus ,EH15 2PP,55.9438437,-3.100725,college,City of Edinburgh
2005,Glasgow,Langside College,13,5,4,1,7.14,7.14,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2006,Glasgow,Langside College,9,5,3,2,18.18,18.18,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2008,Glasgow,Langside College,11,5,2,3,21.43,21.43,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2009,Glasgow,Langside College,14,5,1,4,22.22,22.22,Langside College,G42 9LB,55.8264051,-4.2653801,college,Glasgow City
2006,Lanarkshire,Motherwell College,5,0,0,0,0.00,0.00,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2007,Lanarkshire,Motherwell College,10,5,4,1,9.09,9.09,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2008,Lanarkshire,Motherwell College,5,5,4,1,16.67,16.67,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2014,Aberdeen and Aberdeenshire,NE Scotland Col,27,8,0,8,22.86,22.86,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2015,Aberdeen and Aberdeenshire,NE Scotland Col,32,11,0,11,25.58,25.58,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2016,Aberdeen and Aberdeenshire,NE Scotland Col,33,9,0,9,21.43,21.43,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2017,Aberdeen and Aberdeenshire,NE Scotland Col,37,8,0,8,17.78,17.78,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2018,Aberdeen and Aberdeenshire,NE Scotland Col,33,11,0,11,25.00,25.00,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2019,Aberdeen and Aberdeenshire,NE Scotland Col,25,6,0,6,19.35,19.35,Aberdeen City Campus,AB25 1BN,57.15199,-2.102449,college,Aberdeen City
2015,Lanarkshire,New Col Lanarkshir,19,7,0,7,26.92,26.92,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2016,Lanarkshire,New Col Lanarkshir,17,5,4,1,5.56,5.56,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2017,Lanarkshire,New Col Lanarkshir,15,5,1,4,21.05,21.05,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2018,Lanarkshire,New Col Lanarkshir,15,5,2,3,16.67,16.67,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2019,Lanarkshire,New Col Lanarkshir,9,5,3,2,18.18,18.18,Motherwell Campus,ML1 2TX,55.784356,-3.968653,college,North Lanarkshire
2005,West,Reid Kerr College,10,5,4,1,9.09,9.09,Reid Kerr College,PA3 4,55.852463,-4.4202858,college,Renfrewshire
2006,West,Reid Kerr College,11,5,2,3,21.43,21.43,Reid Kerr College,PA3 4,55.852463,-4.4202858,college,Renfrewshire
2007,West,Reid Kerr College,13,5,4,1,7.14,7.14,Reid Kerr College,PA3 4,55.852463,-4.4202858,college,Renfrewshire
2008,West,Reid Kerr College,6,5,0,5,45.45,45.45,Reid Kerr College,PA3 4,55.852463,-4.4202858,college,Renfrewshire
2009,West,Reid Kerr College,8,5,3,2,20.00,20.00,Reid Kerr College,PA3 4,55.852463,-4.4202858,college,Renfrewshire
